vscode,"C:\\Users\Matte\AppData\Local\Programs\Microsoft VS Code\Code.exe"
sqlworkbench,"C:\\Program Files\MySQL\MySQL Workbench 8.0 CE\MySQLWorkbench.exe"
obs,"C:\\Program Files\obs-studio\bin\64bit\obs64.exe"
outlook,"C:\\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
orario,"C:\Users\Matte\Desktop\uni\orario.jpg"
progresso,"C:\Users\Matte\Desktop\uni\progresso.jpg"
retilogiche,"C:\Users\Matte\Desktop\uni\Reti Logiche"
elettrotecnica,"C:\Users\Matte\Desktop\uni\Elettrotecnica"
calcolonumerico,"C:\Users\Matte\Desktop\uni\Calcolo Numerico"
robin,C:\Users\Matte\Desktop\Development\PROGETTI\ROBIN 2
immagini,C:\Users\Matte\Desktop\immagini
pweb,C:\pweb\tools\xampp\htdocs
development,C:\Users\Matte\Desktop\Development
opera,C:\Users\Matte\AppData\Local\Programs\Opera\launcher.exe
registra,C:\Users\Matte\Desktop\Development\tutorial sql info.io
registra,"C:\\Program Files\MySQL\MySQL Workbench 8.0 CE\MySQLWorkbench.exe"
registra,"C:\\Users\Matte\Desktop\OBS Studio"
registra,C:\Users\Matte\Desktop\Development\tutorial sql info.io\nuova scaletta.txt
